raceId,year,round,circuitId,name,date,time,url,circuit_ref,country,race,driverId,driverId_Ref,constructorId,constructorId_Ref
48,2007,13,14,Italian Grand Prix,9/9/2007,12:00:00,http://en.wikipedia.org/wiki/2007_Italian_Grand_Prix,monza,Canada,1,4,alonso,1,mclaren
49,2007,14,13,Belgian Grand Prix,9/16/2007,12:00:00,http://en.wikipedia.org/wiki/2007_Belgian_Grand_Prix,spa,Spain,1,8,raikkonen,6,ferrari
50,2007,15,16,Japanese Grand Prix,9/30/2007,04:30:00,http://en.wikipedia.org/wiki/2007_Japanese_Grand_Prix,fuji,Belgium,1,1,hamilton,1,mclaren
51,2007,16,17,Chinese Grand Prix,10/7/2007,06:00:00,http://en.wikipedia.org/wiki/2007_Chinese_Grand_Prix,shanghai,France,1,8,raikkonen,6,ferrari
52,2007,17,18,Brazilian Grand Prix,10/21/2007,16:00:00,http://en.wikipedia.org/wiki/2007_Brazilian_Grand_Prix,interlagos,Canada,1,8,raikkonen,6,ferrari
53,2006,1,3,Bahrain Grand Prix,3/12/2006,14:30:00,http://en.wikipedia.org/wiki/2006_Bahrain_Grand_Prix,bahrain,France,1,4,alonso,4,renault
54,2006,2,2,Malaysian Grand Prix,3/19/2006,15:00:00,http://en.wikipedia.org/wiki/2006_Malaysian_Grand_Prix,sepang,France,1,21,fisichella,4,renault
55,2006,3,1,Australian Grand Prix,4/2/2006,14:00:00,http://en.wikipedia.org/wiki/2006_Australian_Grand_Prix,albert_park,France,1,4,alonso,4,renault
56,2006,4,21,San Marino Grand Prix,4/23/2006,14:00:00,http://en.wikipedia.org/wiki/2006_San_Marino_Grand_Prix,imola,South Africa,1,30,michael_schumacher,6,ferrari
57,2006,5,20,European Grand Prix,5/7/2006,14:00:00,http://en.wikipedia.org/wiki/2006_European_Grand_Prix,nurburgring,Austria,1,30,michael_schumacher,6,ferrari
58,2006,6,4,Spanish Grand Prix,5/14/2006,14:00:00,http://en.wikipedia.org/wiki/2006_Spanish_Grand_Prix,catalunya,UK,1,4,alonso,4,renault
59,2006,7,6,Monaco Grand Prix,5/28/2006,14:00:00,http://en.wikipedia.org/wiki/2006_Monaco_Grand_Prix,monaco,Portugal,1,4,alonso,4,renault
60,2006,8,9,British Grand Prix,6/11/2006,12:00:00,http://en.wikipedia.org/wiki/2006_British_Grand_Prix,silverstone,USA,1,4,alonso,4,renault
61,2006,9,7,Canadian Grand Prix,6/25/2006,13:00:00,http://en.wikipedia.org/wiki/2006_Canadian_Grand_Prix,villeneuve,Germany,1,4,alonso,4,renault
62,2006,10,19,United States Grand Prix,7/2/2006,14:00:00,http://en.wikipedia.org/wiki/2006_United_States_Grand_Prix,indianapolis,Portugal,1,30,michael_schumacher,6,ferrari
63,2006,11,8,French Grand Prix,7/16/2006,14:00:00,http://en.wikipedia.org/wiki/2006_French_Grand_Prix,magny_cours,USA,1,30,michael_schumacher,6,ferrari
64,2006,12,10,German Grand Prix,7/30/2006,14:00:00,http://en.wikipedia.org/wiki/2006_German_Grand_Prix,hockenheimring,Morocco,1,30,michael_schumacher,6,ferrari
65,2006,13,11,Hungarian Grand Prix,8/6/2006,14:00:00,http://en.wikipedia.org/wiki/2006_Hungarian_Grand_Prix,hungaroring,Italy,1,18,button,11,honda
66,2006,14,5,Turkish Grand Prix,8/27/2006,15:00:00,http://en.wikipedia.org/wiki/2006_Turkish_Grand_Prix,istanbul,Switzerland,1,13,massa,6,ferrari
67,2006,15,14,Italian Grand Prix,9/10/2006,14:00:00,http://en.wikipedia.org/wiki/2006_Italian_Grand_Prix,monza,Spain,1,30,michael_schumacher,6,ferrari
68,2006,16,17,Chinese Grand Prix,10/1/2006,14:00:00,http://en.wikipedia.org/wiki/2006_Chinese_Grand_Prix,shanghai,India,1,30,michael_schumacher,6,ferrari
69,2006,17,22,Japanese Grand Prix,10/8/2006,14:00:00,http://en.wikipedia.org/wiki/2006_Japanese_Grand_Prix,suzuka,USA,1,4,alonso,4,renault
70,2006,18,18,Brazilian Grand Prix,10/22/2006,14:00:00,http://en.wikipedia.org/wiki/2006_Brazilian_Grand_Prix,interlagos,Austria,1,13,massa,6,ferrari
71,2005,1,1,Australian Grand Prix,3/6/2005,14:00:00,http://en.wikipedia.org/wiki/2005_Australian_Grand_Prix,albert_park,Russia,1,21,fisichella,4,renault
72,2005,2,2,Malaysian Grand Prix,3/20/2005,15:00:00,http://en.wikipedia.org/wiki/2005_Malaysian_Grand_Prix,sepang,USA,1,4,alonso,4,renault
73,2005,3,3,Bahrain Grand Prix,4/3/2005,14:30:00,http://en.wikipedia.org/wiki/2005_Bahrain_Grand_Prix,bahrain,Azerbaijan,1,4,alonso,4,renault
74,2005,4,21,San Marino Grand Prix,4/24/2005,14:00:00,http://en.wikipedia.org/wiki/2005_San_Marino_Grand_Prix,imola,Azerbaijan,1,4,alonso,4,renault
75,2005,5,4,Spanish Grand Prix,5/8/2005,14:00:00,http://en.wikipedia.org/wiki/2005_Spanish_Grand_Prix,catalunya,Azerbaijan,1,8,raikkonen,1,mclaren
76,2005,6,6,Monaco Grand Prix,5/22/2005,14:00:00,http://en.wikipedia.org/wiki/2005_Monaco_Grand_Prix,monaco,Azerbaijan,1,8,raikkonen,1,mclaren
77,2005,7,20,European Grand Prix,5/29/2005,14:00:00,http://en.wikipedia.org/wiki/2005_European_Grand_Prix,nurburgring,Azerbaijan,1,4,alonso,4,renault
78,2005,8,7,Canadian Grand Prix,6/12/2005,13:00:00,http://en.wikipedia.org/wiki/2005_Canadian_Grand_Prix,villeneuve,Azerbaijan,1,8,raikkonen,1,mclaren
79,2005,9,19,United States Grand Prix,6/19/2005,14:00:00,http://en.wikipedia.org/wiki/2005_United_States_Grand_Prix,indianapolis,Azerbaijan,1,30,michael_schumacher,6,ferrari
80,2005,10,8,French Grand Prix,7/3/2005,14:00:00,http://en.wikipedia.org/wiki/2005_French_Grand_Prix,magny_cours,Azerbaijan,1,4,alonso,4,renault
81,2005,11,9,British Grand Prix,7/10/2005,14:00:00,http://en.wikipedia.org/wiki/2005_British_Grand_Prix,silverstone,Azerbaijan,1,31,montoya,1,mclaren
82,2005,12,10,German Grand Prix,7/24/2005,14:00:00,http://en.wikipedia.org/wiki/2005_German_Grand_Prix,hockenheimring,Azerbaijan,1,4,alonso,4,renault
83,2005,13,11,Hungarian Grand Prix,7/31/2005,14:00:00,http://en.wikipedia.org/wiki/2005_Hungarian_Grand_Prix,hungaroring,Azerbaijan,1,8,raikkonen,1,mclaren
84,2005,14,5,Turkish Grand Prix,8/21/2005,15:00:00,http://en.wikipedia.org/wiki/2005_Turkish_Grand_Prix,istanbul,Azerbaijan,1,8,raikkonen,1,mclaren
85,2005,15,14,Italian Grand Prix,9/4/2005,14:00:00,http://en.wikipedia.org/wiki/2005_Italian_Grand_Prix,monza,Azerbaijan,1,31,montoya,1,mclaren
86,2005,16,13,Belgian Grand Prix,9/11/2005,14:00:00,http://en.wikipedia.org/wiki/2005_Belgian_Grand_Prix,spa,Azerbaijan,1,8,raikkonen,1,mclaren
87,2005,17,18,Brazilian Grand Prix,9/25/2005,14:00:00,http://en.wikipedia.org/wiki/2005_Brazilian_Grand_Prix,interlagos,Azerbaijan,1,31,montoya,1,mclaren
88,2005,18,22,Japanese Grand Prix,10/9/2005,14:00:00,http://en.wikipedia.org/wiki/2005_Japanese_Grand_Prix,suzuka,Azerbaijan,1,8,raikkonen,1,mclaren
89,2005,19,17,Chinese Grand Prix,10/16/2005,14:00:00,http://en.wikipedia.org/wiki/2005_Chinese_Grand_Prix,shanghai,Azerbaijan,1,4,alonso,4,renault
90,2004,1,1,Australian Grand Prix,3/7/2004,,http://en.wikipedia.org/wiki/2004_Australian_Grand_Prix,albert_park,Azerbaijan,1,30,michael_schumacher,6,ferrari
91,2004,2,2,Malaysian Grand Prix,3/21/2004,,http://en.wikipedia.org/wiki/2004_Malaysian_Grand_Prix,sepang,Azerbaijan,1,30,michael_schumacher,6,ferrari
92,2004,3,3,Bahrain Grand Prix,4/4/2004,,http://en.wikipedia.org/wiki/2004_Bahrain_Grand_Prix,bahrain,Azerbaijan,1,30,michael_schumacher,6,ferrari
93,2004,4,21,San Marino Grand Prix,4/25/2004,,http://en.wikipedia.org/wiki/2004_San_Marino_Grand_Prix,imola,Azerbaijan,1,30,michael_schumacher,6,ferrari
94,2004,5,4,Spanish Grand Prix,5/9/2004,,http://en.wikipedia.org/wiki/2004_Spanish_Grand_Prix,catalunya,Azerbaijan,1,30,michael_schumacher,6,ferrari
95,2004,6,6,Monaco Grand Prix,5/23/2004,,http://en.wikipedia.org/wiki/2004_Monaco_Grand_Prix,monaco,Azerbaijan,1,15,trulli,4,renault
96,2004,7,20,European Grand Prix,5/30/2004,,http://en.wikipedia.org/wiki/2004_European_Grand_Prix,nurburgring,Azerbaijan,1,30,michael_schumacher,6,ferrari
97,2004,8,7,Canadian Grand Prix,6/13/2004,,http://en.wikipedia.org/wiki/2004_Canadian_Grand_Prix,villeneuve,Azerbaijan,1,30,michael_schumacher,6,ferrari
98,2004,9,19,United States Grand Prix,6/20/2004,,http://en.wikipedia.org/wiki/2004_United_States_Grand_Prix,indianapolis,Azerbaijan,1,30,michael_schumacher,6,ferrari
99,2004,10,8,French Grand Prix,7/4/2004,,http://en.wikipedia.org/wiki/2004_French_Grand_Prix,magny_cours,Azerbaijan,1,30,michael_schumacher,6,ferrari
100,2004,11,9,British Grand Prix,7/11/2004,,http://en.wikipedia.org/wiki/2004_British_Grand_Prix,silverstone,Azerbaijan,1,30,michael_schumacher,6,ferrari
101,2004,12,10,German Grand Prix,7/25/2004,,http://en.wikipedia.org/wiki/2004_German_Grand_Prix,hockenheimring,Azerbaijan,1,30,michael_schumacher,6,ferrari
102,2004,13,11,Hungarian Grand Prix,8/15/2004,,http://en.wikipedia.org/wiki/2004_Hungarian_Grand_Prix,hungaroring,Azerbaijan,1,30,michael_schumacher,6,ferrari
103,2004,14,13,Belgian Grand Prix,8/29/2004,,http://en.wikipedia.org/wiki/2004_Belgian_Grand_Prix,spa,Azerbaijan,1,8,raikkonen,1,mclaren
104,2004,15,14,Italian Grand Prix,9/12/2004,,http://en.wikipedia.org/wiki/2004_Italian_Grand_Prix,monza,Azerbaijan,1,22,barrichello,6,ferrari
105,2004,16,17,Chinese Grand Prix,9/26/2004,,http://en.wikipedia.org/wiki/2004_Chinese_Grand_Prix,shanghai,Azerbaijan,1,22,barrichello,6,ferrari
106,2004,17,22,Japanese Grand Prix,10/10/2004,,http://en.wikipedia.org/wiki/2004_Japanese_Grand_Prix,suzuka,Azerbaijan,1,30,michael_schumacher,6,ferrari
107,2004,18,18,Brazilian Grand Prix,10/24/2004,,http://en.wikipedia.org/wiki/2004_Brazilian_Grand_Prix,interlagos,Azerbaijan,1,31,montoya,3,williams
108,2003,1,1,Australian Grand Prix,3/9/2003,,http://en.wikipedia.org/wiki/2003_Australian_Grand_Prix,albert_park,Azerbaijan,1,14,coulthard,1,mclaren
109,2003,2,2,Malaysian Grand Prix,3/23/2003,,http://en.wikipedia.org/wiki/2003_Malaysian_Grand_Prix,sepang,Azerbaijan,1,8,raikkonen,1,mclaren
110,2003,3,18,Brazilian Grand Prix,4/6/2003,,http://en.wikipedia.org/wiki/2003_Brazilian_Grand_Prix,interlagos,Azerbaijan,1,21,fisichella,17,jordan
111,2003,4,21,San Marino Grand Prix,4/20/2003,,http://en.wikipedia.org/wiki/2003_San_Marino_Grand_Prix,imola,Azerbaijan,1,30,michael_schumacher,6,ferrari
112,2003,5,4,Spanish Grand Prix,5/4/2003,,http://en.wikipedia.org/wiki/2003_Spanish_Grand_Prix,catalunya,Azerbaijan,1,30,michael_schumacher,6,ferrari
113,2003,6,23,Austrian Grand Prix,5/18/2003,,http://en.wikipedia.org/wiki/2003_Austrian_Grand_Prix,osterreichring,Azerbaijan,1,30,michael_schumacher,6,ferrari
114,2003,7,6,Monaco Grand Prix,6/1/2003,,http://en.wikipedia.org/wiki/2003_Monaco_Grand_Prix,monaco,Azerbaijan,1,31,montoya,3,williams
115,2003,8,7,Canadian Grand Prix,6/15/2003,,http://en.wikipedia.org/wiki/2003_Canadian_Grand_Prix,villeneuve,Azerbaijan,1,30,michael_schumacher,6,ferrari
116,2003,9,20,European Grand Prix,6/29/2003,,http://en.wikipedia.org/wiki/2003_European_Grand_Prix,nurburgring,Azerbaijan,1,23,ralf_schumacher,3,williams
117,2003,10,8,French Grand Prix,7/6/2003,,http://en.wikipedia.org/wiki/2003_French_Grand_Prix,magny_cours,Azerbaijan,1,23,ralf_schumacher,3,williams
118,2003,11,9,British Grand Prix,7/20/2003,,http://en.wikipedia.org/wiki/2003_British_Grand_Prix,silverstone,Azerbaijan,1,22,barrichello,6,ferrari
119,2003,12,10,German Grand Prix,8/3/2003,,http://en.wikipedia.org/wiki/2003_German_Grand_Prix,hockenheimring,Azerbaijan,1,31,montoya,3,williams
120,2003,13,11,Hungarian Grand Prix,8/24/2003,,http://en.wikipedia.org/wiki/2003_Hungarian_Grand_Prix,hungaroring,Azerbaijan,1,4,alonso,4,renault
121,2003,14,14,Italian Grand Prix,9/14/2003,,http://en.wikipedia.org/wiki/2003_Italian_Grand_Prix,monza,Azerbaijan,1,30,michael_schumacher,6,ferrari
122,2003,15,19,United States Grand Prix,9/28/2003,,http://en.wikipedia.org/wiki/2003_United_States_Grand_Prix,indianapolis,Azerbaijan,1,30,michael_schumacher,6,ferrari
123,2003,16,22,Japanese Grand Prix,10/12/2003,,http://en.wikipedia.org/wiki/2003_Japanese_Grand_Prix,suzuka,Azerbaijan,1,22,barrichello,6,ferrari
124,2002,1,1,Australian Grand Prix,3/3/2002,,http://en.wikipedia.org/wiki/2002_Australian_Grand_Prix,albert_park,Azerbaijan,1,30,michael_schumacher,6,ferrari
125,2002,2,2,Malaysian Grand Prix,3/17/2002,,http://en.wikipedia.org/wiki/2002_Malaysian_Grand_Prix,sepang,Azerbaijan,1,23,ralf_schumacher,3,williams
126,2002,3,18,Brazilian Grand Prix,3/31/2002,,http://en.wikipedia.org/wiki/2002_Brazilian_Grand_Prix,interlagos,Azerbaijan,1,30,michael_schumacher,6,ferrari
127,2002,4,21,San Marino Grand Prix,4/14/2002,,http://en.wikipedia.org/wiki/2002_San_Marino_Grand_Prix,imola,Azerbaijan,1,30,michael_schumacher,6,ferrari
128,2002,5,4,Spanish Grand Prix,4/28/2002,,http://en.wikipedia.org/wiki/2002_Spanish_Grand_Prix,catalunya,Azerbaijan,1,30,michael_schumacher,6,ferrari
129,2002,6,23,Austrian Grand Prix,5/12/2002,,http://en.wikipedia.org/wiki/2002_Austrian_Grand_Prix,osterreichring,Azerbaijan,1,30,michael_schumacher,6,ferrari
130,2002,7,6,Monaco Grand Prix,5/26/2002,,http://en.wikipedia.org/wiki/2002_Monaco_Grand_Prix,monaco,Azerbaijan,1,14,coulthard,1,mclaren
131,2002,8,7,Canadian Grand Prix,6/9/2002,,http://en.wikipedia.org/wiki/2002_Canadian_Grand_Prix,villeneuve,Azerbaijan,1,30,michael_schumacher,6,ferrari
132,2002,9,20,European Grand Prix,6/23/2002,,http://en.wikipedia.org/wiki/2002_European_Grand_Prix,nurburgring,Azerbaijan,1,22,barrichello,6,ferrari
133,2002,10,9,British Grand Prix,7/7/2002,,http://en.wikipedia.org/wiki/2002_British_Grand_Prix,silverstone,Azerbaijan,1,30,michael_schumacher,6,ferrari
134,2002,11,8,French Grand Prix,7/21/2002,,http://en.wikipedia.org/wiki/2002_French_Grand_Prix,magny_cours,Azerbaijan,1,30,michael_schumacher,6,ferrari
135,2002,12,10,German Grand Prix,7/28/2002,,http://en.wikipedia.org/wiki/2002_German_Grand_Prix,hockenheimring,Azerbaijan,1,30,michael_schumacher,6,ferrari
136,2002,13,11,Hungarian Grand Prix,8/18/2002,,http://en.wikipedia.org/wiki/2002_Hungarian_Grand_Prix,hungaroring,Azerbaijan,1,22,barrichello,6,ferrari
137,2002,14,13,Belgian Grand Prix,9/1/2002,,http://en.wikipedia.org/wiki/2002_Belgian_Grand_Prix,spa,Azerbaijan,1,30,michael_schumacher,6,ferrari
138,2002,15,14,Italian Grand Prix,9/15/2002,,http://en.wikipedia.org/wiki/2002_Italian_Grand_Prix,monza,Azerbaijan,1,22,barrichello,6,ferrari
139,2002,16,19,United States Grand Prix,9/29/2002,,http://en.wikipedia.org/wiki/2002_United_States_Grand_Prix,indianapolis,Azerbaijan,1,22,barrichello,6,ferrari
140,2002,17,22,Japanese Grand Prix,10/13/2002,,http://en.wikipedia.org/wiki/2002_Japanese_Grand_Prix,suzuka,Azerbaijan,1,30,michael_schumacher,6,ferrari
141,2001,1,1,Australian Grand Prix,3/4/2001,,http://en.wikipedia.org/wiki/2001_Australian_Grand_Prix,albert_park,Azerbaijan,1,30,michael_schumacher,6,ferrari
142,2001,2,2,Malaysian Grand Prix,3/18/2001,,http://en.wikipedia.org/wiki/2001_Malaysian_Grand_Prix,sepang,Azerbaijan,1,30,michael_schumacher,6,ferrari
143,2001,3,18,Brazilian Grand Prix,4/1/2001,,http://en.wikipedia.org/wiki/2001_Brazilian_Grand_Prix,interlagos,Azerbaijan,1,14,coulthard,1,mclaren
144,2001,4,21,San Marino Grand Prix,4/15/2001,,http://en.wikipedia.org/wiki/2001_San_Marino_Grand_Prix,imola,Azerbaijan,1,23,ralf_schumacher,3,williams
145,2001,5,4,Spanish Grand Prix,4/29/2001,,http://en.wikipedia.org/wiki/2001_Spanish_Grand_Prix,catalunya,Azerbaijan,1,30,michael_schumacher,6,ferrari
146,2001,6,23,Austrian Grand Prix,5/13/2001,,http://en.wikipedia.org/wiki/2001_Austrian_Grand_Prix,osterreichring,Azerbaijan,1,14,coulthard,1,mclaren
147,2001,7,6,Monaco Grand Prix,5/27/2001,,http://en.wikipedia.org/wiki/2001_Monaco_Grand_Prix,monaco,Azerbaijan,1,30,michael_schumacher,6,ferrari
148,2001,8,7,Canadian Grand Prix,6/10/2001,,http://en.wikipedia.org/wiki/2001_Canadian_Grand_Prix,villeneuve,Azerbaijan,1,23,ralf_schumacher,3,williams
149,2001,9,20,European Grand Prix,6/24/2001,,http://en.wikipedia.org/wiki/2001_European_Grand_Prix,nurburgring,Azerbaijan,1,30,michael_schumacher,6,ferrari
150,2001,10,8,French Grand Prix,7/1/2001,,http://en.wikipedia.org/wiki/2001_French_Grand_Prix,magny_cours,Azerbaijan,1,30,michael_schumacher,6,ferrari
151,2001,11,9,British Grand Prix,7/15/2001,,http://en.wikipedia.org/wiki/2001_British_Grand_Prix,silverstone,Azerbaijan,1,57,hakkinen,1,mclaren
152,2001,12,10,German Grand Prix,7/29/2001,,http://en.wikipedia.org/wiki/2001_German_Grand_Prix,hockenheimring,Azerbaijan,1,23,ralf_schumacher,3,williams
153,2001,13,11,Hungarian Grand Prix,8/19/2001,,http://en.wikipedia.org/wiki/2001_Hungarian_Grand_Prix,hungaroring,Azerbaijan,1,30,michael_schumacher,6,ferrari
154,2001,14,13,Belgian Grand Prix,9/2/2001,,http://en.wikipedia.org/wiki/2001_Belgian_Grand_Prix,spa,Azerbaijan,1,30,michael_schumacher,6,ferrari
155,2001,15,14,Italian Grand Prix,9/16/2001,,http://en.wikipedia.org/wiki/2001_Italian_Grand_Prix,monza,Azerbaijan,1,31,montoya,3,williams
156,2001,16,19,United States Grand Prix,9/30/2001,,http://en.wikipedia.org/wiki/2001_United_States_Grand_Prix,indianapolis,Azerbaijan,1,57,hakkinen,1,mclaren
